type,value,role,label,source
domain,ma.zk89.net,c2,Vidar,ThreatFox
domain,ma.199cuan.org,c2,Vidar,ThreatFox
ip,154.91.57.118,c2,VShell,ThreatFox
ip,154.91.57.115,c2,VShell,ThreatFox
ip,154.91.57.110,c2,VShell,ThreatFox
ip,154.91.56.116,c2,VShell,ThreatFox
ip,154.91.57.105,c2,VShell,ThreatFox
domain,shiningmooncare.com.au,phishing,ClearFake,ThreatFox
domain,vinmartfoundation.org,phishing,ClearFake,ThreatFox
domain,habibventure.com,phishing,ClearFake,ThreatFox
domain,www.jeffersontomaz1749157674000.construtoraeverest.com.br,phishing,ClearFake,ThreatFox
ip,46.151.182.200,c2,Bashlite,ThreatFox
domain,majithiamasala.co.in,phishing,ClearFake,ThreatFox
ip,154.91.56.113,c2,VShell,ThreatFox
ip,154.91.56.106,c2,VShell,ThreatFox
ip,154.91.56.100,c2,VShell,ThreatFox
ip,134.122.202.217,c2,Unknown malware,ThreatFox
domain,www.shanefoods.com,phishing,ClearFake,ThreatFox
domain,ciu2swv9.alibabasport.ir,phishing,ClearFake,ThreatFox
url,https://autoescolalp.com.br/,phishing,Unknown malware,ThreatFox
url,https://cybercoinslab.com/,phishing,Unknown malware,ThreatFox
domain,alibabasport.ir,phishing,ClearFake,ThreatFox
domain,csjr0p6y.www-bellyflush.com,phishing,ClearFake,ThreatFox
ip,36.255.97.162,c2,Cobalt Strike,ThreatFox
domain,synton.ch,phishing,ClearFake,ThreatFox
domain,f3e33vzn.nurvesoothe.com,phishing,ClearFake,ThreatFox
domain,nurvesoothe.com,phishing,ClearFake,ThreatFox
ip,103.101.85.26,c2,Unknown malware,ThreatFox
ip,206.123.137.132,c2,Remcos,ThreatFox
ip,45.194.92.41,c2,Mirai,ThreatFox
ip,217.60.103.96,c2,CECbot,ThreatFox
ip,64.89.160.15,c2,CECbot,ThreatFox
ip,94.154.43.235,c2,CECbot,ThreatFox
url,http://43.230.94.186:58162/Mozi.m,phishing,Mozi,ThreatFox
url,http://153.117.34.135:48306/Mozi.a,phishing,Mozi,ThreatFox
ip,62.60.226.173,c2,CECbot,ThreatFox
ip,154.91.63.98,c2,VShell,ThreatFox
ip,154.91.63.119,c2,VShell,ThreatFox
ip,154.91.63.122,c2,VShell,ThreatFox
ip,154.91.63.111,c2,VShell,ThreatFox
ip,154.91.63.110,c2,VShell,ThreatFox
ip,154.91.63.108,c2,VShell,ThreatFox
ip,154.91.63.107,c2,VShell,ThreatFox
ip,154.91.62.99,c2,VShell,ThreatFox
ip,154.91.63.101,c2,VShell,ThreatFox
ip,154.91.62.122,c2,VShell,ThreatFox
domain,yw8bvcf7.betandyou90.com,phishing,ClearFake,ThreatFox
domain,betandyou90.com,phishing,ClearFake,ThreatFox
ip,155.254.99.109,c2,Unknown RAT,ThreatFox
domain,www.ecorgysolutions.com,phishing,ClearFake,ThreatFox
domain,churchoflife.io,c2,Unknown RAT,ThreatFox
domain,diabetir.online,phishing,ClearFake,ThreatFox
domain,1xbitios.com,phishing,ClearFake,ThreatFox
domain,usa-gutlite.us,phishing,ClearFake,ThreatFox
url,https://testingcf.jsdelivr.net/gh/989A-A-3fF2465495760-2B3a/dhfgr657399876/44563893876402336,phishing,ClearFake,ThreatFox
domain,kiln-skioi-c29ap.com,phishing,IClickFix,ThreatFox
domain,9li95l5d.en-us-cardioslimtea.us,phishing,ClearFake,ThreatFox
domain,en-us-cardioslimtea.us,phishing,ClearFake,ThreatFox
domain,sallowcloister.co,phishing,SmartApeSG,ThreatFox
url,https://sallowcloister.co/settings/secure-script.js,phishing,SmartApeSG,ThreatFox
domain,gaezskoynbrisk.com,phishing,IClickFix,ThreatFox
ip,130.12.181.199,c2,CECbot,ThreatFox
ip,62.60.226.111,c2,CECbot,ThreatFox
ip,141.98.10.26,c2,CECbot,ThreatFox
ip,154.91.62.109,c2,VShell,ThreatFox
ip,154.91.62.110,c2,VShell,ThreatFox
ip,154.91.62.107,c2,VShell,ThreatFox
ip,154.91.62.108,c2,VShell,ThreatFox
domain,kz.zk89.net,c2,Vidar,ThreatFox
domain,kz.199cuan.org,c2,Vidar,ThreatFox
ip,8.160.168.147,c2,Cobalt Strike,ThreatFox
ip,60.204.248.97,c2,Cobalt Strike,ThreatFox
ip,80.76.49.209,c2,PureRAT,ThreatFox
ip,5.163.239.119,c2,Havoc,ThreatFox
ip,46.246.6.18,c2,DCRat,ThreatFox
ip,45.202.0.48,c2,DCRat,ThreatFox
ip,45.202.0.55,c2,DCRat,ThreatFox
ip,45.139.104.222,c2,PureRAT,ThreatFox
ip,45.139.104.26,c2,PureRAT,ThreatFox
ip,38.242.209.29,c2,Havoc,ThreatFox
domain,fvrfq4s8.us-slimsplitsmethod.com,phishing,ClearFake,ThreatFox
ip,2.56.97.65,c2,Unknown malware,ThreatFox
ip,191.107.92.58,c2,DCRat,ThreatFox
ip,144.31.148.132,c2,Hook,ThreatFox
domain,s48bo9y4.en-en--enerflow.com,phishing,ClearFake,ThreatFox
ip,109.205.212.241,c2,Havoc,ThreatFox
ip,178.16.54.195,c2,Quasar RAT,ThreatFox
